"No match found","No match found"
"Configuration disabled","Configuration disabled"
"The cart doesn't match conditions","The cart doesn't match conditions"
"The shipping method doesn't cover the zone","The shipping method doesn't cover the zone"
"The shipping method doesn't match to shipping origin","The shipping method doesn't match to shipping origin"
"The shipping method doesn't match to customer group (%s)","The shipping method doesn't match to customer group (%s)"
"Infinite loop %s","Infinite loop %s"
"Non-existent property %s","Non-existent property %s"
"Error in table %s","Error in table %s"
"Invalid formula","Invalid formula"
"Unrecognized value of deprecated property %s %s","Unrecognized value of deprecated property %s %s"
"Usage of deprecated syntax %s","Usage of deprecated syntax %s"
"Usage of unknown properties %s","Usage of unknown properties %s"
"Usage of deprecated properties %s","Usage of deprecated properties %s"
"Usage of obsolete method to disabling a shipping method (`#` before `{`)%s","Usage of obsolete method to disabling a shipping method (`#` before `{`)%s"
"A semicolon is missing at the end of following lines %s","A semicolon is missing at the end of following lines %s"
"Ignored lines %s","Ignored lines %s"
"The property `code` must be unique, `%s` has been found twice","The property `code` must be unique, `%s` has been found twice"
"There are unwanted spaces after char `%s`","There are unwanted spaces after char `%s`"
"There are unwanted spaces before char `%s`","There are unwanted spaces before char `%s`"
"There are multiples spaces","There are multiples spaces"
"track the package","track the package"
"Configuration","Configuration"
"{debug_help}","Debug displayed on cart while making a shipping estimation"
"Tracking URL","Tracking URL"
"Debug","Debug"
"Stop to first match","Stop to first match"
"Weight unit","Weight unit"

"Help to configure","Help to configure"
"Display when unavailable","Display when unavailable"
"Shipping period","Shipping period"