"Amount","Importe"
"Add Unique Message (optional):","Añadir un mensaje personal (Opción):"
"Balance","Saldo corriente"
"Card Number","N° de tarjeta"
"Certificate Code","N° de tarjeta"
"Check Balance","comprobar el saldo"
"Check Your Gift Card Balance","Tarjetas regalos"
"Custom Message","Mensaje personal"
"Delete Gift Certificate","Suprimir la tarjeta regalo"
"Enter Amount","Entre un importe"
"Expires On","Fecha de expiración"
"Expire On","Fecha de expiración"
"Gift Certificate","Tarjeta regalo"
"Pin","PIN"
"Recipient's Email Address (optional):","Dirección Correo electrónico del beneficiario (Opción):"
"Recipient's Name:","Nombre del beneficiario:"
"Recipient Info","Información del beneficiario"
"Recipient's Postal Address (optional):","Dirección postal del beneficiario (Opción):"
"Recipient's email address","Dirección Correo electrónico del beneficiario"
"Recipient's name","Nombre del beneficiario"
"Recipient's postal address","Dirección postal del beneficiario"
"Send this gift certificate directly to someone else","Ofrecer esta tarjeta regalo a un (a) amigo (a)"
"The card number entered is invalid. Please retry","El número entrado no es válido. Gracias por intentarlo de nuevo."
"The card number or PIN entered are invalid. Please retry","Su introducción del número de tarjeta o del código PIN no es válido. Gracias por intentarlo de nuevo."
"Your Gift Card Balance","Saldo de su tarjeta regalo"
"To check the balance of a Gift Card, enter the card number below.","Para comprobar el saldo de una tarjeta regalo, gracias por entrar su número a continuación."
"To check the balance of a Gift Card, enter the card number and PIN below.","Para comprobar el saldo de una tarjeta regalo, gracias por entrar su número y su CÓDIGO PIN a continuación."
"Select Amount:","Seleccione el importe:"
"Send gift certificate electronically","Enviar la tarjeta regalo por correo electrónico"
"Mail to physical address","Expedir la tarjeta regalo por correo"
"To:","Para:"
"Recipient's Email Address:","Dirección correo electrónico del destinatario:"
"Recipient's Mailing Address:","Dirección postal del destinatario:"
"Add Message:","Añadir su mensaje personalizado:"
"Schedule sending on:","Enviar a partir del:"
"Preview PDF","Visualizar previamente la tarjeta regalo"
"Gift cards","Utilizar una tarjeta regalo"
"Your Gift card number.","Entrar el número"
"Gift certificate '%s' was applied to your order.","La tarjeta regalo '%s' se ha aplicado a su pedido."
"Gift certificate '%s' was removed from your order.","La tarjeta regalo  '%s' se ha aplicado a su pedido."
"Select a design :","Seleccione un visual:"
"Recipient #{recipient}","Destinatario n°# {recipiente}"
"Add Recipient","Añadir a un destinatario"
"Send for :","A quién desea enviarlo:"
"Gift certificate","Tarjeta regalo"
"This order will be fully paid by the gift certificate(s)","Este pedido se pagará totalmente gracias a su tarjeta regalo."
"From:","De la parte de:"
"Sender's Email Address:","Su dirección de correo electrónico:"
"Send myself","Enviar directamente la tarjeta regalo a su destinatario"
"Write myself","DEBE RELLENARLO UNO MISMO"