"Introduction","Introduction"
"Subjects","Sujets"
"Contact Subjects","Sujets de contactez-nous"
"How can we help you ?","En quoi pouvons-nous vous aider ?"
"My order","Ma commande"
"Professionals","Professionnels"
"Products","Produits"
"Other","Autre"
"Order Number","Numéro de commande"
"Photo + Order Number + Invoice","Photo + Numéro de commande + Facture"
"Company + City + Country","Société + Ville + Pays"
"Add","Ajout"
"Category","Catégorie"
"Subject","Sujet"
"Address mail","E-mail"
"Condition","Condition"
"Country + Name of the media","Pays + Nom du média"